contract,bug_type,llm_line,truth_line,diff
buggy_36.sol,Timestamp-Dependency,46,44,2
buggy_15.sol,Timestamp-Dependency,42,42,0
buggy_15.sol,Timestamp-Dependency,42,42,0
buggy_15.sol,Timestamp-Dependency,42,42,0
buggy_6.sol,Timestamp-Dependency,15,14,1
buggy_6.sol,Timestamp-Dependency,23,23,0
buggy_6.sol,Timestamp-Dependency,24,23,1
buggy_6.sol,Timestamp-Dependency,32,33,-1
buggy_7.sol,Timestamp-Dependency,27,29,-2
buggy_7.sol,Timestamp-Dependency,27,29,-2
buggy_7.sol,Timestamp-Dependency,27,29,-2
buggy_7.sol,Timestamp-Dependency,27,29,-2
buggy_50.sol,Timestamp-Dependency,25,27,-2
buggy_50.sol,Timestamp-Dependency,27,27,0
buggy_50.sol,Timestamp-Dependency,28,27,1
buggy_50.sol,Timestamp-Dependency,40,39,1
buggy_50.sol,Timestamp-Dependency,52,50,2
buggy_50.sol,Timestamp-Dependency,60,61,-1
buggy_50.sol,Timestamp-Dependency,64,64,0
buggy_50.sol,Timestamp-Dependency,80,81,-1
buggy_50.sol,Timestamp-Dependency,92,91,1
buggy_50.sol,Timestamp-Dependency,96,98,-2
buggy_50.sol,Timestamp-Dependency,100,98,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_13.sol,Timestamp-Dependency,32,30,2
buggy_47.sol,Timestamp-Dependency,42,40,2
buggy_47.sol,Timestamp-Dependency,25,23,2
buggy_47.sol,Timestamp-Dependency,42,40,2
buggy_47.sol,Timestamp-Dependency,25,23,2
buggy_5.sol,Re-entrancy,34,36,-2
buggy_5.sol,Re-entrancy,78,76,2
buggy_49.sol,Re-entrancy,6,8,-2
buggy_49.sol,Re-entrancy,7,8,-1
buggy_49.sol,Re-entrancy,8,8,0
buggy_42.sol,Re-entrancy,15,17,-2
buggy_42.sol,Re-entrancy,25,27,-2
buggy_42.sol,Re-entrancy,28,27,1
buggy_42.sol,Re-entrancy,57,57,0
buggy_39.sol,Re-entrancy,34,34,0
buggy_39.sol,Re-entrancy,45,45,0
buggy_45.sol,Re-entrancy,16,18,-2
buggy_45.sol,Re-entrancy,24,24,0
buggy_45.sol,Re-entrancy,46,44,2
buggy_45.sol,Re-entrancy,54,55,-1
buggy_45.sol,Re-entrancy,64,65,-1
buggy_32.sol,Re-entrancy,56,58,-2
buggy_10.sol,Re-entrancy,6,8,-2
buggy_10.sol,Re-entrancy,7,8,-1
buggy_10.sol,Re-entrancy,8,8,0
buggy_10.sol,Re-entrancy,17,17,0
buggy_11.sol,Re-entrancy,30,29,1
buggy_11.sol,Re-entrancy,40,38,2
buggy_2.sol,Re-entrancy,10,8,2
buggy_2.sol,Re-entrancy,15,17,-2
buggy_2.sol,Re-entrancy,18,17,1
buggy_2.sol,Re-entrancy,23,25,-2
buggy_2.sol,Re-entrancy,27,25,2
buggy_2.sol,Re-entrancy,35,36,-1
buggy_25.sol,Re-entrancy,15,13,2
buggy_41.sol,Re-entrancy,25,26,-1
buggy_21.sol,Re-entrancy,3,5,-2
buggy_7.sol,Re-entrancy,15,16,-1
buggy_7.sol,Re-entrancy,24,26,-2
buggy_7.sol,Re-entrancy,28,26,2
buggy_7.sol,Re-entrancy,36,36,0
buggy_7.sol,Re-entrancy,40,42,-2
buggy_7.sol,Re-entrancy,44,42,2
buggy_18.sol,Re-entrancy,123,122,1
buggy_13.sol,Re-entrancy,14,13,1
buggy_47.sol,Re-entrancy,42,42,0
buggy_17.sol,Overflow-Underflow,47,49,-2
buggy_5.sol,Overflow-Underflow,7,8,-1
buggy_5.sol,Overflow-Underflow,9,8,1
buggy_5.sol,Overflow-Underflow,7,8,-1
buggy_5.sol,Overflow-Underflow,9,8,1
buggy_5.sol,Overflow-Underflow,7,8,-1
buggy_4.sol,Overflow-Underflow,42,43,-1
buggy_4.sol,Overflow-Underflow,43,43,0
buggy_4.sol,Overflow-Underflow,45,43,2
buggy_4.sol,Overflow-Underflow,47,49,-2
buggy_4.sol,Overflow-Underflow,56,58,-2
buggy_4.sol,Overflow-Underflow,59,58,1
buggy_28.sol,Overflow-Underflow,54,54,0
buggy_28.sol,Overflow-Underflow,125,127,-2
buggy_28.sol,Overflow-Underflow,135,137,-2
buggy_28.sol,Overflow-Underflow,150,148,2
buggy_28.sol,Overflow-Underflow,190,190,0
buggy_28.sol,Overflow-Underflow,201,202,-1
buggy_28.sol,Overflow-Underflow,202,202,0
buggy_28.sol,Overflow-Underflow,210,210,0
buggy_28.sol,Overflow-Underflow,230,228,2
buggy_22.sol,Overflow-Underflow,43,45,-2
buggy_22.sol,Overflow-Underflow,45,45,0
buggy_22.sol,Overflow-Underflow,47,45,2
buggy_22.sol,Overflow-Underflow,48,50,-2
buggy_22.sol,Overflow-Underflow,52,50,2
buggy_22.sol,Overflow-Underflow,60,61,-1
buggy_22.sol,Overflow-Underflow,62,61,1
buggy_22.sol,Overflow-Underflow,72,73,-1
buggy_48.sol,Overflow-Underflow,58,59,-1
buggy_48.sol,Overflow-Underflow,74,75,-1
buggy_48.sol,Overflow-Underflow,106,107,-1
buggy_48.sol,Overflow-Underflow,122,122,0
buggy_48.sol,Overflow-Underflow,158,158,0
buggy_48.sol,Overflow-Underflow,194,196,-2
buggy_43.sol,Overflow-Underflow,42,41,1
buggy_43.sol,Overflow-Underflow,10,10,0
buggy_43.sol,Overflow-Underflow,10,10,0
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_43.sol,Overflow-Underflow,43,41,2
buggy_34.sol,Overflow-Underflow,42,41,1
buggy_34.sol,Overflow-Underflow,43,41,2
buggy_39.sol,Overflow-Underflow,6,8,-2
buggy_39.sol,Overflow-Underflow,7,8,-1
buggy_39.sol,Overflow-Underflow,8,8,0
buggy_39.sol,Overflow-Underflow,9,8,1
buggy_39.sol,Overflow-Underflow,10,8,2
buggy_44.sol,Overflow-Underflow,42,40,2
buggy_45.sol,Overflow-Underflow,42,40,2
buggy_45.sol,Overflow-Underflow,44,46,-2
buggy_45.sol,Overflow-Underflow,45,46,-1
buggy_45.sol,Overflow-Underflow,13,14,-1
buggy_45.sol,Overflow-Underflow,23,24,-1
buggy_45.sol,Overflow-Underflow,47,46,1
buggy_45.sol,Overflow-Underflow,79,78,1
buggy_45.sol,Overflow-Underflow,123,122,1
buggy_45.sol,Overflow-Underflow,132,133,-1
buggy_45.sol,Overflow-Underflow,152,150,2
buggy_45.sol,Overflow-Underflow,162,161,1
buggy_32.sol,Overflow-Underflow,47,49,-2
buggy_32.sol,Overflow-Underflow,48,49,-1
buggy_32.sol,Overflow-Underflow,49,49,0
buggy_32.sol,Overflow-Underflow,50,49,1
buggy_32.sol,Overflow-Underflow,51,49,2
buggy_32.sol,Overflow-Underflow,52,54,-2
buggy_32.sol,Overflow-Underflow,53,54,-1
buggy_32.sol,Overflow-Underflow,54,54,0
buggy_32.sol,Overflow-Underflow,55,54,1
buggy_32.sol,Overflow-Underflow,56,54,2
buggy_32.sol,Overflow-Underflow,57,59,-2
buggy_32.sol,Overflow-Underflow,58,59,-1
buggy_32.sol,Overflow-Underflow,59,59,0
buggy_32.sol,Overflow-Underflow,60,59,1
buggy_32.sol,Overflow-Underflow,61,59,2
buggy_32.sol,Overflow-Underflow,62,64,-2
buggy_32.sol,Overflow-Underflow,63,64,-1
buggy_32.sol,Overflow-Underflow,64,64,0
buggy_32.sol,Overflow-Underflow,65,64,1
buggy_32.sol,Overflow-Underflow,66,64,2
buggy_10.sol,Overflow-Underflow,7,8,-1
buggy_10.sol,Overflow-Underflow,10,8,2
buggy_10.sol,Overflow-Underflow,13,13,0
buggy_10.sol,Overflow-Underflow,25,24,1
buggy_10.sol,Overflow-Underflow,50,48,2
buggy_11.sol,Overflow-Underflow,42,40,2
buggy_11.sol,Overflow-Underflow,43,45,-2
buggy_11.sol,Overflow-Underflow,54,56,-2
buggy_11.sol,Overflow-Underflow,56,56,0
buggy_11.sol,Overflow-Underflow,72,72,0
buggy_11.sol,Overflow-Underflow,73,72,1
buggy_11.sol,Overflow-Underflow,84,86,-2
buggy_2.sol,Overflow-Underflow,10,8,2
buggy_2.sol,Overflow-Underflow,42,41,1
buggy_3.sol,Overflow-Underflow,10,8,2
buggy_3.sol,Overflow-Underflow,40,41,-1
buggy_8.sol,Overflow-Underflow,10,8,2
buggy_8.sol,Overflow-Underflow,100,101,-1
buggy_25.sol,Overflow-Underflow,12,13,-1
buggy_25.sol,Overflow-Underflow,42,43,-1
buggy_25.sol,Overflow-Underflow,13,13,0
buggy_25.sol,Overflow-Underflow,43,43,0
buggy_25.sol,Overflow-Underflow,45,43,2
buggy_25.sol,Overflow-Underflow,14,13,1
buggy_41.sol,Overflow-Underflow,42,44,-2
buggy_41.sol,Overflow-Underflow,58,56,2
buggy_37.sol,Overflow-Underflow,84,83,1
buggy_36.sol,Overflow-Underflow,43,45,-2
buggy_36.sol,Overflow-Underflow,8,9,-1
buggy_36.sol,Overflow-Underflow,43,45,-2
buggy_36.sol,Overflow-Underflow,43,45,-2
buggy_21.sol,Overflow-Underflow,64,64,0
buggy_21.sol,Overflow-Underflow,76,76,0
buggy_21.sol,Overflow-Underflow,82,82,0
buggy_21.sol,Overflow-Underflow,94,94,0
buggy_21.sol,Overflow-Underflow,106,104,2
buggy_21.sol,Overflow-Underflow,142,143,-1
buggy_21.sol,Overflow-Underflow,148,149,-1
buggy_21.sol,Overflow-Underflow,160,161,-1
buggy_21.sol,Overflow-Underflow,166,167,-1
buggy_21.sol,Overflow-Underflow,178,179,-1
buggy_14.sol,Overflow-Underflow,72,72,0
buggy_14.sol,Overflow-Underflow,92,91,1
buggy_14.sol,Overflow-Underflow,102,102,0
buggy_14.sol,Overflow-Underflow,122,120,2
buggy_14.sol,Overflow-Underflow,132,133,-1
buggy_14.sol,Overflow-Underflow,142,143,-1
buggy_14.sol,Overflow-Underflow,152,152,0
buggy_14.sol,Overflow-Underflow,162,160,2
buggy_14.sol,Overflow-Underflow,172,172,0
buggy_14.sol,Overflow-Underflow,202,200,2
buggy_14.sol,Overflow-Underflow,212,212,0
buggy_15.sol,Overflow-Underflow,12,13,-1
buggy_15.sol,Overflow-Underflow,13,13,0
buggy_15.sol,Overflow-Underflow,24,23,1
buggy_6.sol,Overflow-Underflow,34,33,1
buggy_50.sol,Overflow-Underflow,12,10,2
buggy_27.sol,Overflow-Underflow,84,85,-1
buggy_27.sol,Overflow-Underflow,108,110,-2
buggy_27.sol,Overflow-Underflow,123,122,1
buggy_27.sol,Overflow-Underflow,140,142,-2
buggy_27.sol,Overflow-Underflow,84,85,-1
buggy_27.sol,Overflow-Underflow,108,110,-2
buggy_27.sol,Overflow-Underflow,123,122,1
buggy_27.sol,Overflow-Underflow,140,142,-2
buggy_13.sol,Overflow-Underflow,25,23,2
buggy_1.sol,Overflow-Underflow,23,22,1
buggy_1.sol,Overflow-Underflow,20,22,-2
buggy_1.sol,Overflow-Underflow,34,32,2
buggy_47.sol,Overflow-Underflow,42,42,0
buggy_47.sol,Overflow-Underflow,43,42,1
buggy_47.sol,Overflow-Underflow,44,42,2
buggy_47.sol,Overflow-Underflow,51,53,-2
buggy_47.sol,Overflow-Underflow,52,53,-1
buggy_47.sol,Overflow-Underflow,53,53,0
buggy_47.sol,Overflow-Underflow,54,53,1
buggy_47.sol,Overflow-Underflow,55,53,2
buggy_17.sol,Unhandled-Exceptions,50,49,1
buggy_17.sol,Unhandled-Exceptions,90,89,1
buggy_5.sol,Unhandled-Exceptions,85,84,1
buggy_5.sol,Unhandled-Exceptions,86,84,2
buggy_5.sol,Unhandled-Exceptions,95,94,1
buggy_4.sol,Unhandled-Exceptions,34,33,1
buggy_4.sol,Unhandled-Exceptions,51,50,1
buggy_4.sol,Unhandled-Exceptions,52,50,2
buggy_4.sol,Unhandled-Exceptions,60,60,0
buggy_29.sol,Unhandled-Exceptions,35,33,2
buggy_28.sol,Unhandled-Exceptions,85,87,-2
buggy_28.sol,Unhandled-Exceptions,158,160,-2
buggy_28.sol,Unhandled-Exceptions,342,340,2
buggy_28.sol,Unhandled-Exceptions,297,297,0
buggy_28.sol,Unhandled-Exceptions,317,315,2
buggy_28.sol,Unhandled-Exceptions,327,328,-1
buggy_22.sol,Unhandled-Exceptions,42,42,0
buggy_22.sol,Unhandled-Exceptions,10,9,1
buggy_49.sol,Unhandled-Exceptions,25,26,-1
buggy_49.sol,Unhandled-Exceptions,28,26,2
buggy_49.sol,Unhandled-Exceptions,30,32,-2
buggy_43.sol,Unhandled-Exceptions,37,38,-1
buggy_43.sol,Unhandled-Exceptions,40,38,2
buggy_43.sol,Unhandled-Exceptions,18,19,-1
buggy_42.sol,Unhandled-Exceptions,12,11,1
buggy_42.sol,Unhandled-Exceptions,18,19,-1
buggy_42.sol,Unhandled-Exceptions,21,19,2
buggy_39.sol,Unhandled-Exceptions,17,19,-2
buggy_39.sol,Unhandled-Exceptions,20,22,-2
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_44.sol,Unhandled-Exceptions,42,43,-1
buggy_45.sol,Unhandled-Exceptions,12,13,-1
buggy_45.sol,Unhandled-Exceptions,169,171,-2
buggy_45.sol,Unhandled-Exceptions,208,207,1
buggy_33.sol,Unhandled-Exceptions,6,8,-2
buggy_33.sol,Unhandled-Exceptions,7,8,-1
buggy_33.sol,Unhandled-Exceptions,8,8,0
buggy_33.sol,Unhandled-Exceptions,9,11,-2
buggy_32.sol,Unhandled-Exceptions,48,49,-1
buggy_32.sol,Unhandled-Exceptions,85,87,-2
buggy_32.sol,Unhandled-Exceptions,92,91,1
buggy_10.sol,Unhandled-Exceptions,6,8,-2
buggy_10.sol,Unhandled-Exceptions,10,8,2
buggy_2.sol,Unhandled-Exceptions,24,26,-2
buggy_2.sol,Unhandled-Exceptions,15,14,1
buggy_8.sol,Unhandled-Exceptions,10,8,2
buggy_8.sol,Unhandled-Exceptions,8,8,0
buggy_8.sol,Unhandled-Exceptions,36,34,2
buggy_8.sol,Unhandled-Exceptions,35,34,1
buggy_25.sol,Unhandled-Exceptions,12,13,-1
buggy_25.sol,Unhandled-Exceptions,13,13,0
buggy_41.sol,Unhandled-Exceptions,17,17,0
buggy_41.sol,Unhandled-Exceptions,15,17,-2
buggy_37.sol,Unhandled-Exceptions,35,37,-2
buggy_37.sol,Unhandled-Exceptions,46,44,2
buggy_21.sol,Unhandled-Exceptions,3,5,-2
buggy_21.sol,Unhandled-Exceptions,80,81,-1
buggy_15.sol,Unhandled-Exceptions,12,13,-1
buggy_15.sol,Unhandled-Exceptions,43,42,1
buggy_15.sol,Unhandled-Exceptions,95,94,1
buggy_6.sol,Unhandled-Exceptions,46,44,2
buggy_7.sol,Unhandled-Exceptions,19,18,1
buggy_7.sol,Unhandled-Exceptions,19,18,1
buggy_7.sol,Unhandled-Exceptions,27,29,-2
buggy_7.sol,Unhandled-Exceptions,19,18,1
buggy_7.sol,Unhandled-Exceptions,38,39,-1
buggy_7.sol,Unhandled-Exceptions,40,39,1
buggy_7.sol,Unhandled-Exceptions,39,39,0
buggy_50.sol,Unhandled-Exceptions,26,27,-1
buggy_50.sol,Unhandled-Exceptions,40,40,0
buggy_19.sol,Unhandled-Exceptions,60,58,2
buggy_19.sol,Unhandled-Exceptions,70,69,1
buggy_18.sol,Unhandled-Exceptions,62,62,0
buggy_18.sol,Unhandled-Exceptions,65,66,-1
buggy_18.sol,Unhandled-Exceptions,72,70,2
buggy_18.sol,Unhandled-Exceptions,82,83,-1
buggy_18.sol,Unhandled-Exceptions,85,83,2
buggy_18.sol,Unhandled-Exceptions,90,89,1
buggy_18.sol,Unhandled-Exceptions,95,95,0
buggy_18.sol,Unhandled-Exceptions,115,113,2
buggy_27.sol,Unhandled-Exceptions,85,85,0
buggy_27.sol,Unhandled-Exceptions,106,108,-2
buggy_27.sol,Unhandled-Exceptions,117,118,-1
buggy_27.sol,Unhandled-Exceptions,128,128,0
buggy_27.sol,Unhandled-Exceptions,86,85,1
buggy_27.sol,Unhandled-Exceptions,116,118,-2
buggy_27.sol,Unhandled-Exceptions,127,128,-1
buggy_27.sol,Unhandled-Exceptions,150,151,-1
buggy_27.sol,Unhandled-Exceptions,163,163,0
buggy_27.sol,Unhandled-Exceptions,185,183,2
buggy_27.sol,Unhandled-Exceptions,196,196,0
buggy_13.sol,Unhandled-Exceptions,42,42,0
buggy_13.sol,Unhandled-Exceptions,12,13,-1
buggy_13.sol,Unhandled-Exceptions,30,29,1
buggy_13.sol,Unhandled-Exceptions,40,42,-2
buggy_13.sol,Unhandled-Exceptions,30,29,1
buggy_13.sol,Unhandled-Exceptions,40,42,-2
buggy_13.sol,Unhandled-Exceptions,27,29,-2
buggy_13.sol,Unhandled-Exceptions,13,13,0
buggy_13.sol,Unhandled-Exceptions,36,36,0
buggy_13.sol,Unhandled-Exceptions,35,36,-1
buggy_13.sol,Unhandled-Exceptions,27,29,-2
buggy_13.sol,Unhandled-Exceptions,30,29,1
buggy_13.sol,Unhandled-Exceptions,40,42,-2
buggy_1.sol,Unhandled-Exceptions,23,22,1
buggy_47.sol,Unhandled-Exceptions,22,24,-2
buggy_47.sol,Unhandled-Exceptions,46,46,0
buggy_47.sol,Unhandled-Exceptions,34,32,2
buggy_49.sol,Unchecked-Send,14,12,2
buggy_49.sol,Unchecked-Send,42,41,1
buggy_49.sol,Unchecked-Send,47,48,-1
buggy_48.sol,Unchecked-Send,67,69,-2
buggy_43.sol,Unchecked-Send,31,30,1
buggy_43.sol,Unchecked-Send,27,27,0
buggy_43.sol,Unchecked-Send,30,30,0
buggy_34.sol,Unchecked-Send,18,18,0
buggy_34.sol,Unchecked-Send,30,29,1
buggy_39.sol,Unchecked-Send,42,44,-2
buggy_39.sol,Unchecked-Send,50,48,2
buggy_38.sol,Unchecked-Send,62,60,2
buggy_44.sol,Unchecked-Send,9,10,-1
buggy_44.sol,Unchecked-Send,12,10,2
buggy_45.sol,Unchecked-Send,9,9,0
buggy_45.sol,Unchecked-Send,12,12,0
buggy_45.sol,Unchecked-Send,16,18,-2
buggy_45.sol,Unchecked-Send,20,18,2
buggy_45.sol,Unchecked-Send,24,24,0
buggy_45.sol,Unchecked-Send,30,28,2
buggy_41.sol,Unchecked-Send,15,17,-2
buggy_41.sol,Unchecked-Send,23,23,0
buggy_41.sol,Unchecked-Send,40,40,0
buggy_41.sol,Unchecked-Send,94,92,2
buggy_37.sol,Unchecked-Send,28,30,-2
buggy_37.sol,Unchecked-Send,30,30,0
buggy_36.sol,Unchecked-Send,42,43,-1
buggy_36.sol,Unchecked-Send,64,65,-1
buggy_36.sol,Unchecked-Send,75,74,1
buggy_21.sol,Unchecked-Send,50,52,-2
buggy_21.sol,Unchecked-Send,62,64,-2
buggy_21.sol,Unchecked-Send,70,68,2
buggy_14.sol,Unchecked-Send,74,75,-1
buggy_14.sol,Unchecked-Send,86,84,2
buggy_15.sol,Unchecked-Send,15,13,2
buggy_15.sol,Unchecked-Send,23,23,0
buggy_6.sol,Unchecked-Send,42,40,2
buggy_6.sol,Unchecked-Send,102,100,2
buggy_6.sol,Unchecked-Send,114,114,0
buggy_6.sol,Unchecked-Send,138,139,-1
buggy_50.sol,Unchecked-Send,42,40,2
buggy_50.sol,Unchecked-Send,43,44,-1
buggy_18.sol,Unchecked-Send,68,69,-1
buggy_18.sol,Unchecked-Send,75,75,0
buggy_13.sol,Unchecked-Send,25,23,2
